T1 = 160, T2 = 161, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.50000,	3.00000,	4.00000), y = 13.174766166289333
T1 = 161, T2 = 162, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.50000,	3.00000,	4.00000), y = 2.8894457581853903
T1 = 162, T2 = 163, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 4.2432213643140235
T1 = 163, T2 = 164, optimal x = VectorD(7.98611,	-8.38889,	1.77778,	2.27778,	3.27778,	4.27778), y = 5.823754720349773
T1 = 164, T2 = 165, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 3.587044844290534
T1 = 165, T2 = 166, optimal x = VectorD(8.12500,	-7.87500,	1.62500,	1.75000,	3.12500,	4.12500), y = 5.900156445278972
T1 = 166, T2 = 167, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 2.670971803638381
T1 = 167, T2 = 168, optimal x = VectorD(7.88280,	-8.07421,	1.98685,	1.90980,	3.26240,	4.31851), y = 6.209415760692522
T1 = 168, T2 = 169, optimal x = VectorD(8.00000,	-8.00000,	2.00000,	2.00000,	3.00000,	4.00000), y = 3.3059174224031085
T1 = 169, T2 = 170, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 2.54880633605085
T1 = 170, T2 = 171, optimal x = VectorD(8.00000,	-8.00000,	1.50000,	2.00000,	3.00000,	4.50000), y = 6.7475362402708265
