UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 2248.814450274222.
Bus.b.54 	 resumes 	 Bus.b.56 	 at time 2258.820908552124.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 2258.820908552124.
Bus.b.56 	 resumes 	 Bus.b.53 	 at time 2307.728951579581.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 2307.728951579581.
Bus.b.53 	 resumes 	 Bus.b.54 	 at time 2373.7485864005675.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 2373.7485864005675.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 2377.108535157251.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 2377.108535157251.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 2399.9972153366316.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 2399.9972153366316.
Bus.b.56 	 resumes 	 Bus.b.53 	 at time 2429.1883700837693.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 2429.1883700837693.
Bus.b.53 	 resumes 	 Bus.b.54 	 at time 2498.682722526913.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 2498.682722526913.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 2516.9384489900303.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 2516.9384489900303.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 2541.1735221211393.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 2541.1735221211393.
Bus.b.56 	 resumes 	 Bus.b.53 	 at time 2550.6477885879576.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 2550.6477885879576.
Bus.b.53 	 resumes 	 Bus.b.54 	 at time 2623.6168586532585.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 2623.6168586532585.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 2656.7683628228096.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 2656.7683628228096.
Bus.b.55 	 resumes 	 Bus.b.53 	 at time 2672.107207092146.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 2672.107207092146.
Bus.b.53 	 resumes 	 Bus.b.56 	 at time 2682.349828905647.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 2682.349828905647.
Bus.b.56 	 resumes 	 Bus.b.54 	 at time 2748.550994779604.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 2748.550994779604.
Bus.b.54 	 resumes 	 Bus.b.53 	 at time 2793.5666255963342.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 2793.5666255963342.
Bus.b.53 	 resumes 	 Bus.b.55 	 at time 2796.598276655589.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 2796.598276655589.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 2823.5261356901547.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 2823.5261356901547.
Bus.b.56 	 resumes 	 Bus.b.54 	 at time 2873.4851309059495.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 2873.4851309059495.
Bus.b.54 	 resumes 	 Bus.b.53 	 at time 2915.0260441005225.
Junction.jW2E.16 	 jumps for 1098.5259647481143 	 Bus.b.53 	 at time 2915.0260441005225.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 2915.0260441005225.
Bus.b.53 	 resumes 	 Bus.b.55 	 at time 2936.4281904883683.
