21.45,120.0,0.0347,0.0,18.0,0.0094,0.0,102.0,0.06,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
22.0,96.0,0.0267,0.0,17.0,0.0098,0.0,79.0,0.0436,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
22.15,123.0,0.0385,0.0,18.0,0.0104,0.0,105.0,0.0667,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
22.3,117.0,0.0341,0.0,15.0,0.0082,0.0,102.0,0.0601,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
22.45,132.0,0.0407,0.0,24.0,0.0139,0.0,108.0,0.0675,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
23.0,89.0,0.0267,0.0,5.0,0.0028,0.0,84.0,0.0506,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
23.15,74.0,0.0217,0.0,4.0,0.0024,0.0,70.0,0.041,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
23.3,110.0,0.0339,0.0,30.0,0.0173,0.0,80.0,0.0504,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
23.45,389.0,0.0662,0.0,337.0,0.0981,0.0,52.0,0.0342,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
0.0,400.0,0.356,0.0,360.0,0.6837,0.0,40.0,0.0282,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
0.15,51.0,0.1803,0.0,10.0,0.9945,0.0,41.0,0.0291,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
0.3,91.0,0.0177,0.0,0.0,,0.0,91.0,0.0355,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
